community_name,2017,2018,2019,2020,2021,2022,total,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+,criteria1,criteria2,criteria3,score
Mauraz,60,59,57,58,60,65,65,7,2,4,3,1,6,5,5,2,3,4,11,4,4,0,2,0,1,0,1,0,68.7162221195971,100.0,23.247381144238517,81.5210984408074
Villars-Epeney,106,100,102,101,95,92,92,4,6,6,5,2,6,11,6,3,3,6,16,5,3,6,3,0,1,0,0,0,72.55496511439236,96.85935435566397,22.48186946011281,79.55341845242657
Démoret,146,141,156,158,164,167,167,24,13,4,1,6,12,14,22,6,3,5,13,12,15,5,4,3,1,4,0,0,13.012632855334253,95.59509120571286,23.89202256244964,72.99623164202235
Chavannes-près-Renens,7653,7741,7887,8487,8766,8725,8725,478,444,416,681,1200,864,734,593,648,514,478,428,325,247,223,214,133,71,28,5,1,100.0,59.11253678045107,66.23690572119258,64.62615689055426
Bettens,574,592,650,636,626,650,650,44,48,43,20,26,45,70,59,68,46,45,55,37,14,10,8,9,1,2,0,0,92.01004131354613,63.8102734710114,26.10797743755036,59.089791048572664
Chavannes-des-Bois,942,964,960,1013,1005,1019,1019,52,97,102,71,47,26,28,57,109,117,88,63,41,38,29,28,18,7,1,0,0,48.20904836342492,64.7494125444319,26.148267526188558,55.375147122682534
Chêne-Pâquier,139,141,153,144,153,163,163,17,19,2,5,4,7,17,16,11,7,10,11,12,5,10,3,4,2,0,1,0,37.73770144211098,66.39059283333262,24.012892828364222,55.049763693216775
Dizy,229,223,234,224,225,232,232,8,20,13,10,14,17,13,16,23,14,31,11,17,9,7,0,4,3,1,1,0,87.56633720702526,58.600042168404634,23.16680096696213,54.410023431978196
Leysin,4023,3939,3776,3645,3637,3743,3743,117,147,207,510,483,182,175,219,247,215,242,236,207,171,134,125,71,35,16,3,1,92.50128066414113,59.35126743464059,11.76470588235294,53.14895644713311
Rossenges,63,65,84,84,93,93,93,7,4,5,1,8,6,10,12,5,9,5,4,2,3,1,4,3,2,1,1,0,63.7067986370274,59.00737196706961,24.25463336019339,52.52676691269015
Mollens,301,283,308,330,319,324,324,18,15,9,10,23,26,22,25,27,16,17,40,34,10,9,11,5,6,1,0,0,99.88596823336397,52.92823803568585,23.972602739726025,51.83288399626169
Rovray,187,180,185,204,206,197,197,15,25,9,9,5,6,15,17,22,16,11,6,8,8,9,11,4,1,0,0,0,23.211839774122762,60.68716466672932,23.448831587429492,49.491965561608694
Chigny,338,358,382,396,405,419,419,29,33,20,38,21,14,20,31,45,33,45,25,16,19,10,11,5,4,0,0,0,73.80933525462018,52.41610975267601,26.30942788074134,49.334095928483485
Saubraz,420,418,423,423,444,449,449,28,21,40,38,31,14,31,33,40,38,47,25,19,9,16,9,4,5,1,0,0,81.83667204276402,50.91820021686796,24.214343271555197,48.66927601039501
Chavannes-le-Veyron,141,142,152,152,155,163,163,17,15,10,4,4,12,14,12,15,9,5,13,7,12,9,5,0,0,0,0,0,22.755529983505326,59.41328067179822,23.932312651087834,48.651311998826856
Fontaines-sur-Grandson,210,218,215,219,220,214,214,12,9,16,16,17,10,11,15,15,19,24,20,6,8,6,5,4,0,0,1,0,87.29088349071411,50.269290339099534,23.207091055600323,48.559009797561146
Lovatens,141,146,136,142,146,143,143,6,3,10,8,4,17,13,10,8,7,11,15,3,9,7,8,1,2,1,0,0,65.98380931092274,53.30909984817181,23.126510878323934,48.54005300047732
Lausanne,139624,139720,139726,140430,140789,141513,141513,7088,6786,6412,7110,9597,13021,14185,12251,10865,9642,9028,8368,6817,5073,4376,4122,3089,2137,1150,354,42,86.28589540721569,28.569789231339637,99.1539081385979,48.458223630378896
Chevilly,298,314,317,317,322,331,331,17,22,29,17,20,18,21,24,26,41,17,29,16,6,14,6,6,1,1,0,0,76.00334419469468,50.563903200592044,24.375503626107978,47.87016738510549
La Praz,160,165,165,175,182,183,183,10,11,7,5,5,8,17,16,12,8,15,19,13,19,7,6,4,1,0,0,0,53.03097810040352,50.95322560942371,23.972602739726025,45.76487628458215
Vugelles-La Mothe,122,132,135,138,140,137,137,8,7,13,9,6,4,7,11,7,8,16,14,8,8,3,2,4,2,0,0,0,58.953331098822595,49.20183246490162,23.650282030620467,45.06667224143748
Bussigny,8677,8759,8962,9614,10248,10392,10392,694,602,537,525,579,874,957,834,808,728,698,663,507,405,329,314,191,101,37,9,0,75.22167579636955,27.26206335716727,92.14343271555198,45.03429847276445
Sergey,137,146,145,145,141,140,140,7,4,13,10,10,6,10,7,10,14,10,12,10,8,3,3,2,0,1,0,0,83.47613059502562,44.842616642516276,23.16680096696213,44.37080490265638
Saint-Oyens,366,448,447,461,458,456,456,34,35,20,31,32,14,21,39,45,40,31,40,22,16,14,13,5,3,1,0,0,75.48883084109754,44.31329077449336,26.672038678485094,43.902594361952126
Suchy,605,599,645,656,656,671,671,37,45,55,41,37,43,47,51,75,53,53,41,24,26,15,13,10,3,2,0,0,76.56630973796076,43.948232168071954,25.70507655116841,43.56140880168013
Grandevent,229,238,222,226,238,237,237,9,9,22,10,12,7,11,8,26,18,19,26,17,14,9,9,9,2,0,0,0,55.46344353912791,47.19777584527333,23.3682514101531,43.25843772763474
Arnex-sur-Nyon,224,235,229,240,226,240,240,14,9,22,14,8,10,17,22,19,20,11,16,23,18,7,5,2,2,1,0,0,63.7067986370274,45.64130687598027,23.69057211925866,43.05770910074066
Novalles,101,101,100,99,103,99,99,4,7,9,4,3,3,4,8,10,7,5,10,2,8,5,8,1,0,1,0,0,14.371567369295715,52.38240530579144,22.965350523771153,42.697910555737806
Lussery-Villars,459,462,459,459,475,482,482,43,21,23,19,19,22,48,46,40,25,29,43,41,19,12,14,8,7,3,0,0,74.51551320522755,43.39842656895467,23.972602739726025,42.62497046673622
Premier,210,213,215,218,232,236,236,11,19,18,9,0,9,11,14,29,16,13,7,19,25,10,15,5,3,3,0,0,0.9298073247400227,53.440778630877894,24.09347300564061,42.32022037521665
Ferreyres,322,310,320,319,319,308,308,11,21,28,20,13,9,20,15,16,27,32,26,25,16,9,14,6,0,0,0,0,60.00665629194752,44.270436209930246,22.48186946011281,41.48634486816849
Vuarrens,1003,1001,1054,1060,1097,1106,1106,69,84,81,86,51,65,69,89,99,95,95,66,44,38,28,30,10,2,4,1,0,73.27497866137503,40.811837269747826,27.195809830781627,41.33494592111731
Bavois,928,942,952,994,978,1009,1009,55,67,40,48,69,76,78,90,96,56,83,79,53,48,24,24,14,6,3,0,0,90.49157533520723,38.3305919563118,26.30942788074134,41.14245747908725
Nyon,20551,21239,21416,21743,22120,22461,22461,1298,1245,1146,1091,1101,1553,1882,1868,1860,1660,1551,1552,1147,790,848,812,544,334,143,30,6,70.03464992411203,19.30293909983706,100.0,40.51552236229715
Tartegnin,235,246,233,236,241,249,249,15,12,13,29,19,6,19,16,18,20,22,14,6,12,6,11,6,4,1,0,0,69.59136236655203,40.60741845157056,23.609991941982273,40.10632754115105
Orges,336,332,332,343,367,407,407,27,29,28,19,26,33,32,35,38,30,25,21,23,11,9,14,3,4,0,0,0,76.50729107406048,38.470567934133435,25.906526994359385,39.76143206017133
Montpreveyres,648,643,657,653,662,661,661,44,32,32,53,56,23,43,50,47,55,46,61,43,25,19,12,9,8,1,2,0,90.55382236925595,36.374844618352725,23.56970185334408,39.231713840441316
Crissier,8008,7905,7944,8700,8973,9161,9161,457,489,460,576,730,791,748,653,634,635,597,648,491,371,293,252,184,109,31,11,1,84.80177019022378,24.02949975982257,69.50040290088639,39.20090743107545
Denges,1614,1610,1609,1730,1742,1778,1778,106,74,85,110,137,141,136,130,102,147,150,141,112,64,59,40,26,10,7,1,0,96.85408056752924,33.02961615056794,29.653505237711524,38.73684040969279
Belmont-sur-Yverdon,378,384,374,396,415,434,434,27,24,36,16,20,16,30,40,33,40,31,35,33,16,14,11,4,5,2,1,0,68.95861357843108,38.16855126373101,25.302175664786464,38.67428237541211
Treytorrens,122,119,111,114,110,105,105,7,3,6,6,4,2,10,5,5,13,8,8,5,8,6,4,3,0,1,1,0,45.100368558911455,42.11025531750776,22.36099919419823,38.45941541698622
Champtauroz,128,122,130,144,169,169,169,16,14,9,12,11,9,17,15,6,12,9,8,11,5,6,1,3,3,2,0,0,55.9999932792279,39.85998934527486,24.697824335213536,38.441556736657894
Bretigny-sur-Morrens,825,843,861,859,882,878,878,57,50,62,48,50,35,80,61,88,67,57,63,57,33,18,32,12,6,2,0,0,75.20336847458765,35.82337205451401,25.181305398871878,37.63295836539295
Pailly,543,561,563,567,575,566,566,27,48,36,35,31,22,35,34,47,41,63,45,25,27,22,13,10,2,3,0,0,64.28208578608576,37.713896477089314,23.972602739726025,37.6224566605163
Vinzel,371,358,355,385,369,378,378,18,25,13,25,29,12,21,24,27,25,32,34,34,19,24,7,6,2,0,1,0,77.92004383558823,35.75187147059342,23.327961321514906,37.4839066772772
La Rippe,1164,1161,1136,1131,1165,1197,1197,65,74,84,65,62,45,50,73,95,115,107,113,91,48,39,34,23,6,6,2,0,71.05144208891527,36.09387216993786,24.375503626107978,37.24595545306963
Bassins,1356,1347,1395,1475,1487,1478,1478,76,74,94,111,101,69,77,99,91,120,151,137,92,45,38,54,25,13,9,2,0,84.41557906903063,33.07036521345405,27.961321514907333,37.183077859302365
Vulliens,515,595,614,624,631,632,632,47,50,34,32,26,41,68,52,53,30,32,43,44,27,17,15,10,6,3,2,0,63.44919379021805,36.06304898956423,27.759871071716358,37.14102788606003
Dompierre,259,239,232,245,246,248,248,20,16,8,10,7,15,15,10,14,15,18,26,27,19,9,10,2,2,4,1,0,47.29487694514086,39.55627499759628,22.602739726027394,36.93942813803696
Oppens,187,196,202,201,201,202,202,8,12,13,7,11,10,12,15,14,10,15,21,23,8,9,5,3,3,2,1,0,71.76651463621133,35.560681397789644,23.650282030620467,36.799184848197974
Morges,15839,15725,15862,16095,16887,17530,17530,967,800,723,743,926,1532,1733,1404,1164,1167,1154,1102,885,636,673,745,542,374,178,75,7,67.14309740359332,16.550422981654073,91.17647058823529,36.53489994516424
Crassier,1161,1175,1169,1174,1228,1233,1233,74,74,82,92,75,56,72,66,79,105,135,107,58,34,44,37,28,9,5,1,0,72.81761141858662,34.34009261991288,25.94681708299758,36.50918939239719
Arzier-Le Muids,2653,2697,2801,2912,2947,2954,2954,148,206,172,200,142,118,157,188,225,257,274,259,188,166,89,94,47,19,4,1,0,70.10000328472125,32.02267716175824,35.17324738114424,36.460523817931744
Bussy-sur-Moudon,209,214,218,219,236,246,246,15,14,14,14,8,4,22,19,16,17,18,18,23,8,18,13,2,0,2,1,0,53.77958746730093,36.887547886485265,24.53666398066076,36.106575063401934
Romanel-sur-Morges,470,458,470,466,466,458,458,26,12,19,31,27,20,37,19,22,39,40,48,38,26,19,13,13,4,4,0,1,80.4139915838073,33.47359628705026,22.562449637389204,35.98540648679375
Saint-Livres,683,690,691,683,674,697,697,41,32,41,41,50,26,48,50,36,48,67,66,61,21,16,24,11,8,10,0,0,83.56122097648039,32.69895373351825,23.609991941982273,35.96738809950727
Mauborget,119,122,120,128,137,138,138,7,6,5,4,3,5,8,11,7,6,10,7,13,13,12,15,4,2,0,0,0,0.0,44.48876452734211,23.811442385173248,35.90442364617412
Bogis-Bossey,893,867,825,835,888,923,923,61,49,93,71,56,34,32,53,67,69,95,66,43,44,34,29,20,2,5,0,0,48.18464136709322,37.33139386524751,24.25463336019339,35.80136651442126
St-Saphorin (Lavaux),389,391,384,388,395,402,402,15,24,19,27,28,15,31,29,35,38,39,24,12,16,19,17,6,7,1,0,0,75.8565197701255,33.5111339904368,23.56970185334408,35.75738614098712
Montcherand,482,489,505,506,502,496,496,22,24,41,41,19,17,33,38,34,44,34,47,30,26,15,15,5,7,4,0,0,69.9433288799443,34.04044223094294,23.609991941982273,35.544640838050945
Commugny,2858,2877,2935,2997,3001,2983,2983,119,197,254,265,176,97,102,122,214,256,313,235,143,115,110,126,81,33,23,2,0,52.95492674726798,35.12041881445346,28.08219178082192,35.4962242010086
