community_name,area_km2,taxable_income_million_CHF,criteria1,criteria2,criteria3,score
Le Chenit,9919,66116.0,76.1586901017413,11.403458844510675,100.0,72.74416780959865
Arzier-Le Muids,5190,118209.0,20.850052283548877,20.388279184323952,100.0,52.41767675028434
Le Lieu,3254,67512.0,8.195653837351621,11.644236092785478,100.0,45.60710875349774
Villeneuve (VD),3198,64572.0,7.915968104500062,11.137155068481809,100.0,45.393818255496384
La Rippe,1659,113422.0,2.1297519886113707,19.56263399271114,100.0,44.764427593986774
Saint-Sulpice (VD),186,127616.0,0.02603630553223306,22.010765985556816,100.0,44.41256771932426
Lully (VD),205,122838.0,0.031786973401980625,21.186673082793913,100.0,44.250049405919576
Saint-Saphorin (Lavaux),89,112560.0,0.005387622610505191,19.413959216197615,100.0,43.88494689228372
Le Vaud,311,109534.0,0.07412625591695073,18.89204520955037,100.0,43.80805954427686
Forel (Lavaux),1851,79622.0,2.6514224813802874,13.732926978607734,100.0,43.80715438827366
Mex (VD),283,108178.0,0.0612516956787435,18.658167022830717,100.0,43.75613408283764
Le Mont-sur-Lausanne,980,98802.0,0.7426860991092658,17.0410269943031,100.0,43.705279838504325
La Tour-de-Peilz,326,90376.0,0.08152262575076927,15.587739677710339,100.0,43.15015698584237
Cugy (VD),291,88941.0,0.06480628806774348,15.340235844419261,100.0,43.09396968411095
Mollens (VD),1099,72640.0,0.9341951826525983,12.52869578415596,100.0,42.87941722989223
Morrens (VD),367,80998.0,0.10351666615770663,13.970254696104961,100.0,42.83545760568408
Saint-Barthélemy (VD),412,78376.0,0.13065217055587608,13.518021211164752,100.0,42.755865110455304
La Praz,512,77023.0,0.20217750521258293,13.284660454061736,100.0,42.73780309289738
La Sarraz,770,72618.0,0.4582103362700908,12.524901300300625,100.0,42.688264394568165
Onnens (VD),514,74520.0,0.2037659249822319,12.852951677248104,100.0,42.65209670544252
Ecublens (VD),572,73723.0,0.25252390960730386,12.7154878757617,100.0,42.64410713899526
Vugelles-La Mothe,307,72260.0,0.0722127209897713,12.463154699382017,100.0,42.52151602827231
Les Clées,704,68105.0,0.38290437678152944,11.746514680340606,100.0,42.50246468678073
Ependes (VD),481,64556.0,0.17834888641672356,11.134395443859749,100.0,42.298218643338636
Roche (VD),645,61528.0,0.32129428034579405,10.612136484134746,100.0,42.25094500896527
Renens (VD),295,60235.0,0.06662074028024695,10.389124319364457,100.0,42.10447315998499
Treytorrens (Payerne),307,55664.0,0.0722127209897713,4.800367030074734,100.0,40.98895849441085
Crans (VD),431,0.0,0.1430506693134137,0.0,100.0,40.05722026772536
Dompierre (VD),321,0.0,0.07901846495407613,0.0,100.0,40.03160738598163
Château-d’Oex,11366,0.0,100.0,0.0,0.0,40.0
Bex,9657,61045.0,72.1884828806937,10.528830315856286,0.0,30.981159215448738
Blonay – Saint-Légier,3124,0.0,7.553830071363938,0.0,66.66666666666666,29.68819869521224
La Chaux (Cossonay),674,77666.0,0.3509037562760288,13.395562868560804,66.66666666666666,29.486140742889237
Vaux-sur-Morges,210,579789.0,0.03339319709692291,100.0,0.0,20.013357278838768
Ormont-Dessous,6411,54077.0,31.814809452134902,4.6635068964744075,0.0,13.658625160148842
Ollon,5956,68535.0,27.459052036190425,11.82067959205849,0.0,13.347756732887868
Ormont-Dessus,6159,47631.0,29.362790934039978,4.107615011668038,0.0,12.5666393759496
Montricher,2602,260506.0,5.240115541282484,44.931173237160415,0.0,11.082280863945076
Rougemont,4854,74971.0,18.237686969759917,12.93073859628244,0.0,9.881222507160455
Lausanne,4138,73560.0,13.253925504273928,12.687374199924456,0.0,7.8390450416944635
Jouxtens-Mézery,193,194195.0,0.02808994961063396,33.49408146756838,0.0,6.71005227335793
