6. Population résidante permanente par classe d'âges quinquennale, sexe, origine, district et commune, Vaud, 2017-2022

Page by:
Année: 2022
Sexe: Total
Origine: Total


"District (actuel)","Metrics",,"Population au 31.12","Population au 31.12","Population au 31.12","Population au 31.12","Population au 31.12","Population au 31.12","Population au 31.12","Population au 31.12","Population au 31.12","Population au 31.12","Population au 31.12","Population au 31.12","Population au 31.12","Population au 31.12","Population au 31.12","Population au 31.12","Population au 31.12","Population au 31.12","Population au 31.12","Population au 31.12","Population au 31.12","Population au 31.12"
 ,"Commune d'annonce (actuelle)",,"Total","0 à 4 ans","5 à 9 ans","10 à 14 ans","15 à 19 ans","20 à 24 ans","25 à 29 ans","30 à 34 ans","35 à 39 ans","40 à 44 ans","45 à 49 ans","50 à 54 ans","55 à 59 ans","60 à 64 ans","65 à 69 ans","70 à 74 ans","75 à 79 ans","80 à 84 ans","85 à 89 ans","90 à 94 ans","95 à 99 ans","100 ans et +"
"Total","",,"830,791","43,236","44,775","45,815","47,356","51,087","55,085","62,013","59,874","60,013","59,117","59,134","57,697","46,659","35,835","32,209","30,066","19,998","12,534","6,344","1,709","235"
"Aigle","Aigle","5401","10,937","656","630","593","587","661","751","876","745","701","699","712","786","621","533","417","432","277","149","93","15","3"
"Aigle","Bex","5402","8,151","462","514","506","418","439","502","597","589","512","523","547","563","502","388","323","304","220","149","68","22","3"
"Aigle","Chessel","5403","528","36","31","31","23","30","44","47","41","32","37","30","35","34","20","23","13","12","6","3","0","0"
"Aigle","Corbeyrier","5404","440","7","18","27","20","12","10","13","28","33","35","22","43","23","38","33","33","27","12","3","3","0"
"Aigle","Gryon","5405","1,389","68","78","46","78","62","53","75","88","99","107","96","118","100","101","75","72","50","17","5","1","0"
"Aigle","Lavey-Morcles","5406","979","51","65","59","48","41","55","85","68","61","61","66","63","67","61","50","37","26","6","7","2","0"
"Aigle","Leysin","5407","3,743","117","147","207","510","483","182","175","219","247","215","242","236","207","171","134","125","71","35","16","3","1"
"Aigle","Noville","5408","1,169","68","68","86","56","61","52","72","87","83","71","78","112","65","71","45","47","27","12","7","1","0"
"Aigle","Ollon","5409","7,967","302","373","591","854","420","352","429","463","439","532","567","635","511","425","410","330","163","112","48","10","1"
"Aigle","Ormont-Dessous","5410","1,178","60","56","62","57","40","45","79","88","84","81","88","93","90","88","54","57","35","10","9","1","1"
"Aigle","Ormont-Dessus","5411","1,425","59","68","55","46","66","52","74","94","107","89","85","108","111","108","104","91","50","36","18","3","1"
"Aigle","Rennaz","5412","929","49","62","56","58","53","58","75","66","65","69","49","67","57","45","36","26","17","13","7","1","0"
"Aigle","Roche","5413","1,940","125","155","128","110","103","141","117","173","170","127","111","135","81","78","61","64","34","13","10","4","0"
"Aigle","Villeneuve","5414","5,979","352","327","345","309","367","387","441","436","404","413","375","437","356","291","251","211","129","83","51","13","1"
"Aigle","Yvorne","5415","1,088","44","68","63","46","51","55","68","83","79","74","90","88","68","73","46","42","25","15","8","2","0"
"Broye-Vully","Avenches","5451","4,696","270","301","275","233","267","303","349","355","294","350","321","324","287","183","219","166","102","57","34","6","0"
"Broye-Vully","Cudrefin","5456","1,876","98","102","123","105","78","78","136","140","159","144","153","147","123","83","75","62","39","21","9","1","0"
"Broye-Vully","Faoug","5458","903","44","45","44","43","47","46","53","70","60","62","82","87","79","47","39","30","11","11","3","0","0"
"Broye-Vully","Vully-les-Lacs","5464","3,540","214","227","179","149","149","180","250","285","277","211","263","272","223","189","172","141","74","48","31","5","1"
"Broye-Vully","Bussy-sur-Moudon","5663","246","15","14","14","14","8","4","22","19","16","17","18","18","23","8","18","13","2","0","2","1","0"
"Broye-Vully","Chavannes-sur-Moudon","5665","218","8","9","11","11","15","10","15","13","15","14","17","18","13","10","13","13","7","4","2","0","0"
"Broye-Vully","Curtilles","5669","294","14","9","17","16","16","13","26","20","7","26","29","19","22","19","15","10","6","3","5","1","1"
"Broye-Vully","Dompierre","5671","248","20","16","8","10","7","15","15","10","14","15","18","26","27","19","9","10","2","2","4","1","0"
"Broye-Vully","Hermenches","5673","374","16","16","18","21","19","28","20","17","26","26","39","34","23","17","19","18","5","9","2","1","0"
"Broye-Vully","Lovatens","5674","143","6","3","10","8","4","17","13","10","8","7","11","15","3","9","7","8","1","2","1","0","0"
