community_name,inhabitants,area_km2,inhabitants_per_km2,district_until_2007,district_from_2008,image_links,criteria1,criteria2,criteria3,score
Lavey-Morcles,978,1420,69,Aigle,Aigle,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/CHE_Lavey-Morcles_COA.svg/35px-CHE_Lavey-Morcles_COA.svg.png,100.0,62.2093023255814,100.0,92.44186046511628
Saint-Cergue,2788,2428,115,Nyon,Nyon,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Saint-Cergue-coat_of_arms.svg/35px-Saint-Cergue-coat_of_arms.svg.png,100.0,27.110389610389607,100.0,85.42207792207792
Ormont-Dessous,1175,6411,18,Aigle,Aigle,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/CHE_Ormont-Dessous_COA.svg/35px-CHE_Ormont-Dessous_COA.svg.png,100.0,11.54485049833887,100.0,82.30897009966777
Ormont-Dessus,1424,6159,23,Aigle,Aigle,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/CHE_Ormont-Dessus_COA.svg/35px-CHE_Ormont-Dessus_COA.svg.png,100.0,7.724252491694353,100.0,81.54485049833886
Arzier-Le Muids,2960,5190,57,Nyon,Nyon,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Arzier-coat_of_arms.svg/35px-Arzier-coat_of_arms.svg.png,100.0,6.6558441558441555,100.0,81.33116883116884
Signy-Avenex,586,194,302,Nyon,Nyon,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Signy-Avenex-coat_of_arms.svg/35px-Signy-Avenex-coat_of_arms.svg.png,100.0,0.0,100.0,80.0
Jouxtens-Mézery,1468,193,761,Lausanne,Lausanne,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Jouxtens-Mezery-coat_of_arms.svg/35px-Jouxtens-Mezery-coat_of_arms.svg.png,100.0,0.0,100.0,80.0
Saint-Prex,5871,554,1060,Morges,Morges,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/CHE_Saint-Prex_COA.svg/35px-CHE_Saint-Prex_COA.svg.png,100.0,0.0,100.0,80.0
Bogis-Bossey,932,245,380,Nyon,Nyon,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Bogis-Bossey-coat_of_arms.svg/35px-Bogis-Bossey-coat_of_arms.svg.png,100.0,0.0,100.0,80.0
Villars-sous-Yens,615,304,202,Morges,Morges,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/CHE_Villars-sous-Yens_COA.svg/35px-CHE_Villars-sous-Yens_COA.svg.png,0.0,80.89700996677742,100.0,56.179401993355484
Jorat-Mézières,3104,1108,280,Oron,Lavaux-Oron,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Jorat-M%C3%A9zi%C3%A8res_Wappen.svg/35px-Jorat-M%C3%A9zi%C3%A8res_Wappen.svg.png,100.0,68.9625850340136,0.0,53.79251700680272
Genolier,2020,486,416,Nyon,Nyon,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Genolier-coat_of_arms.svg/35px-Genolier-coat_of_arms.svg.png,0.0,68.42532467532469,100.0,53.685064935064936
Jorat-Menthue,1563,1765,89,Echallens Moudon Oron,Gros-de-Vaud,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Jorat-Menthue-coat_of_arms.svg/35px-Jorat-Menthue-coat_of_arms.svg.png,100.0,65.99025974025975,0.0,53.19805194805195
Gland,13664,832,1642,Nyon,Nyon,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Gland-coat_of_arms.svg/35px-Gland-coat_of_arms.svg.png,0.0,57.14285714285714,100.0,51.42857142857143
Cheseaux-Noréaz,735,590,125,Yverdon,Jura-Nord vaudois,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/CHE_Cheseaux-Nor%C3%A9az_COA.svg/35px-CHE_Cheseaux-Nor%C3%A9az_COA.svg.png,100.0,56.81818181818181,0.0,51.36363636363636
Chêne-Pâquier,162,211,77,Yverdon,Jura-Nord vaudois,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Ch%C3%AAne-P%C3%A2quier-coat_of_arms.svg/35px-Ch%C3%AAne-P%C3%A2quier-coat_of_arms.svg.png,100.0,48.21428571428572,0.0,49.642857142857146
Givrins,1021,396,258,Nyon,Nyon,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Givrins-coat_of_arms.svg/35px-Givrins-coat_of_arms.svg.png,0.0,43.912337662337656,100.0,48.782467532467535
